normalized_ref,source_file,reading_type,raw_ref,candidate_line,method,confidence,page
1 thessalonians 1:5c-10,sunday,second_reading,1 Thes 1:5c-10,"You know what sort of people we were among you for your sake. And you became imitators of us and of the Lord,",sunday_column_left,100,217
1 thessalonians 2:1-8,weekday_b,first_reading,1 Thessalonians 2.1-8,"You yourselves know, brothers and sisters,",weekday_direct,100,242
"1 thessalonians 2:7b-9, 13",sunday,second_reading,"1 Thes 2:7b-9, 13","We were gentle among you, as a nursing mother cares for her children. With such affection for you, we were determined to share with you",sunday_column_left,100,220
1 thessalonians 2:9-13,weekday_b,first_reading,1 Thessalonians 2.9-13,"You remember our labour and toil, brothers and sisters;",weekday_direct,100,244
1 thessalonians 3:12-4:2,sunday,second_reading,1 Thes 3:12-4:2,"May the Lord make you increase and abound in love for one another and for all,",sunday_column_left,100,17
1 thessalonians 3:7-13,weekday_b,first_reading,1 Thessalonians 3.7-13,"For this reason, brothers and sisters,",weekday_direct,100,246
1 thessalonians 4:1-8,weekday_b,first_reading,1 Thessalonians 4.1-8,"Brothers and sisters,",weekday_direct,100,248
1 thessalonians 4:13-18,weekday_b,first_reading,1 Thessalonians 4.13-18,"We do not want you to be uninformed,",weekday_direct,100,253
1 thessalonians 4:13-18 or 4:13-14,sunday,second_reading,1 Thes 4:13-18 or 4:13-14,"[ Shorter form in brackets. ] [ WE do not want you to be unaware, brothers and sisters,",sunday_column_left,100,223
1 thessalonians 4:9-11,weekday_b,first_reading,1 Thessalonians 4.9-11,"Now concerning love of the brothers and sisters,",weekday_direct,100,250
1 thessalonians 5:1-6,sunday,second_reading,1 Thes 5:1-6,"CONCERNING times and seasons, brothers and sisters, you have no need for anything to be written to you.",sunday_column_left,100,226
"1 thessalonians 5:1-6, 9-11",weekday_b,first_reading,"1 Thessalonians 5.1-6, 9-11","Concerning the times and the seasons, brothers and sisters,",weekday_direct,100,256
1 thessalonians 5:16-24,sunday,second_reading,1 Thes 5:16-24,"Rejoice always. Pray without ceasing. In all circumstances give thanks,",sunday_column_left,100,22
"1 timothy 1:1-2, 12-14",weekday_b,first_reading,"1 Timothy 1.1-2, 12-14","From Paul, an apostle of Christ Jesus",weekday_direct,100,274
1 timothy 1:12-17,sunday,second_reading,1 Tim 1:12-17,"BELOVED: I am grateful to him who has strengthened me, Christ Jesus our Lord,",sunday_column_left,100,200
1 timothy 1:12-17,sunday,second_reading,1 Tim 1:12-17,"BELOVED: I am grateful to him who has strengthened me, Christ Jesus our Lord,",sunday_column_left,100,201
1 timothy 1:15-17,weekday_b,first_reading,1 Timothy 1.15-17,"The saying is sure and worthy of full acceptance,",weekday_direct,100,276
