row,season,week,day,weekday_cycle,sunday_cycle,lectionary_number,type,reference,first_verse_text,current_incipit,flag_reason
716,Easter,3,Sunday,,A,,first_reading,"Acts 2:14, 22-33","But Peter, standing with the eleven, lifted up his voice and addressed them, ""Men of Judea and all who dwell in Jerusalem, let this be known to you, and give ear to my words.",THEN Peter stood up with the Eleven,starts_with_conjunction:but
716,Easter,3,Sunday,,A,,gospel,Luke 24:13-35,"That very day two of them were going to a village named Emmaus, about seven miles  from Jerusalem,","THAT very day, the first day of the week",starts_with_pronoun:that
717,Easter,3,Sunday,,B,,gospel,Luke 24:35-48,"Then they told what had happened on the road, and how he was known to them in the breaking of the bread.",THE two disciples recounted what had taken place on the way,starts_with_conjunction:then
718,Easter,3,Sunday,,C,,first_reading,"Acts 5:27-32, 40b-41","And when they had brought them, they set them before the council. And the high priest questioned them,",WHEN the captain and the court officers had brought the apostles in,starts_with_conjunction:and
718,Easter,3,Sunday,,C,,gospel,John 21:1-19 or 21:1-14,[PARSE_ERROR: John 21:1-19 or 21:1-14],"AT that time, Jesus revealed himself again to his disciples at",extraction_failed
719,Easter,3,Monday,I/II,,273,first_reading,Acts 6.8-15,"And Stephen, full of grace and power, did great wonders and signs among the people.","Stephen, full of grace and power",starts_with_conjunction:and
720,Easter,3,Tuesday,I/II,,274,gospel,John 6.30-35,"So they said to him, ""Then what sign do you do, that we may see, and believe you? What work do you perform?",After Jesus had fed the crowd from the five loaves,starts_with_conjunction:so
721,Easter,3,Wednesday,I/II,,275,first_reading,Acts 8.1b-8,"And Saul was consenting to his death. And on that day a great persecution arose against the church in Jerusalem; and they were all scattered throughout the region of Judea and Samaria, except the apostles.",On the day that Stephen was killed,starts_with_conjunction:and
722,Easter,3,Thursday,I/II,,276,first_reading,Acts 8.26-40,"But an angel of the Lord said to Philip, ""Rise and go toward the south  to the road that goes down from Jerusalem to Gaza."" This is a desert road.",An angel of the Lord said to Philip,starts_with_conjunction:but
723,Easter,3,Friday,I/II,,277,first_reading,Acts 9.1-20,"But Saul, still breathing threats and murder against the disciples of the Lord, went to the high priest","Saul, still breathing threats and murder",starts_with_conjunction:but
725,Easter,4,Sunday,,A,,first_reading,"Acts 2:14a, 36-41","But Peter, standing with the eleven, lifted up his voice and addressed them, ""Men of Judea and all who dwell in Jerusalem, let this be known to you, and give ear to my words.",THEN Peter stood up with the Eleven,starts_with_conjunction:but
726,Easter,4,Sunday,,B,,first_reading,Acts 4:8-12,"Then Peter, filled with the Holy Spirit, said to them, ""Rulers of the people and elders,","PETER, filled with the Holy Spirit, said",starts_with_conjunction:then
727,Easter,4,Sunday,,C,,first_reading,"Acts 13:14, 43-52",but they passed on from Perga and came to Antioch of Pisidia. And on the sabbath day they went into the synagogue and sat down.,PAUL and Barnabas continued on from Perga,starts_with_conjunction:but; starts_lowercase
728,Easter,4,Monday,I/II,,279,first_reading,Acts 11.1-18,Now the apostles and the brethren who were in Judea heard that the Gentiles also had received the word of God.,Now the apostles and the believers who were in Judea,starts_with_conjunction:now
729,Easter,4,Tuesday,I/II,,280,first_reading,Acts 11.19-26,"Now those who were scattered because of the persecution that arose over Stephen traveled as far as Phoenicia and Cyprus and Antioch, speaking the word to none except Jews.",Now those who were scattered because of the persecution,starts_with_conjunction:now
729,Easter,4,Tuesday,I/II,,280,gospel,John 10.22-30,It was the feast of the Dedication at Jerusalem;,At that time the festival of the Dedication took place in Jerusalem.,starts_with_pronoun:it
730,Easter,4,Wednesday,I/II,,281,first_reading,Acts 12.24 - 13.5a,But the word of God grew and multiplied.,The word of God continued to advance and gain adherents.,starts_with_conjunction:but
730,Easter,4,Wednesday,I/II,,281,gospel,John 12.44-50,"And Jesus cried out and said, ""He who believes in me, believes not in me but in him who sent me.",Although Jesus had performed so many signs in the presence of the people,starts_with_conjunction:and
731,Easter,4,Thursday,I/II,,282,first_reading,Acts 13.13-25,"Now Paul and his company set sail from Paphos, and came to Perga in Pamphylia. And John left them and returned to Jerusalem;",Paul and his companions set sail from Paphos,starts_with_conjunction:now
