Season,Week,Day,Weekday Cycle,Sunday Cycle,Full Reference,Refrain Text,Acclamation Ref,Acclamation Text,Lectionary Number
Ordinary Time,3,Tuesday,II,,"Psalm 145.1-2, 8-9, 10-11 (R.9)",The Lord is compassionate to all creatures.,John 15.16,"I have chosen you from the world, says the Lord, to go and bear fruit that will last.",438
Ordinary Time,3,Tuesday,II,,"Psalm 3.1-2, 3-4, 5-6 (R.5b)",The Lord upholds me.,1 John 4.10b,God first loved us and sent his Son to take away our sins.,498
Ordinary Time,3,Tuesday,II,,"Psalm 149.1-2, 3-4, 5-6a+9b (R.4a)",The Lord takes delight in his people.,John 15.16,"I have chosen you from the world, says the Lord, to go and bear fruit that will last.",438
Ordinary Time,3,Tuesday,II,,"Psalm 15.1-3a, 3bc-4a, 4b-5 (R. Rev 3.21)",Those who are victorious,1 John 4.10b,God first loved us and sent his Son to take away our sins.,498
Ordinary Time,3,Wednesday,I,,"Psalm 110.1, 2, 3, 4 (R.4)","You are a priest for ever, in the line of Melchizedek.",,"The seed is the word of God, Christ is the sower; all who come to him will live for ever.",319
Ordinary Time,3,Wednesday,I,,"Psalm 89.3-4, 26-27, 28-29 (R.28)",For ever I will pledge my love for my servant.,,"The seed is the word of God, Christ is the sower; all who come to him will live for ever. 276 THIRD WEEK IN ORDINARY TIME – YEAR II",319
Ordinary Time,3,Wednesday,II,,"Psalm 145.2-3, 10-11, 12-13ab (R. see 9)",The Lord is compassionate to all creatures.,Luke 6.23ab,Rejoice and be glad; your reward will be great in heaven.,439
Ordinary Time,3,Wednesday,II,,"Psalm 17.1, 5-6, 8b+15 (R.15)","Lord, when your glory appears, my joy will be full.",John 15.16,"I have chosen you from the world, says the Lord, to go and bear fruit that will last.",499
Ordinary Time,3,Wednesday,II,,"Psalm 45.10-11, 13-14, 15-16 (R.8a)","Listen to me, daughter; see and bend your ear.",Luke 6.23ab,Rejoice and be glad; your reward will be great in heaven.,439
Ordinary Time,3,Wednesday,II,,"Psalm 150.1-2, 3-4, 5-6 (R. Rev 4.8b)","Holy, holy, holy Lord, mighty God!",John 15.16,"I have chosen you from the world, says the Lord, to go and bear fruit that will last.",499
Ordinary Time,3,Thursday,I,,"Psalm 24.1-2, 3-4ab, 5-6 (R.6)","Lord, this is the people that longs to see your face.",Psalm 119.105,Your word is a lamp for my feet and a light on my path.,320
Ordinary Time,3,Thursday,I,,"Psalm 132.1-2, 3-5, 11, 12, 13-14 (R. Lk 1.32b)","God will give him the throne of David, his father.",Psalm 119.105,Your word is a lamp for my feet and a light on my path.,320
Ordinary Time,3,Thursday,II,,"Psalm 150.1-2, 3-4, 5-6 (R.6)",Let everything that breathes praise the Lord.,1 John 4.12,"If we love one another, God will live in us in perfect love.",440
Ordinary Time,3,Thursday,II,,"Psalm 50.1-2, 5-6, 14-15 (R.23b)",To the upright I will show the saving power of God.,Psalm 95.8,"If today you hear God’s voice, harden not your hearts. THURSDAY 1331",500
Ordinary Time,3,Thursday,II,,"Psalm 139.1-3, 13-14ab, 23-24 (R.24b)","Guide me, Lord, along the everlasting way.",1 John 4.12,"If we love one another, God will live in us in perfect love.",440
Ordinary Time,3,Thursday,II,,"Psalm 149.1-2, 3-4, 5-6a+9b (R. Rev 5.10)",The Lamb has made us a kingdom of priests to serve our God.,Psalm 95.8,"If today you hear God’s voice, harden not your hearts.",500
Ordinary Time,3,Friday,I,,"Psalm 37.3-4, 5-6, 23-24, 39-40 (R.39a)",The salvation of the just comes from the Lord.,See Matthew 11.25,"Blessed are you, Father, Lord of heaven and earth; you have revealed to little one the mysteries of the kingdom.",321
Ordinary Time,3,Friday,I,,"Psalm 51.1-2, 3-4a, 4bc-5, 8-9 (R.1a+4a)","Be merciful, O Lord, for we have sinned.",See Matthew 11.25,"Blessed are you, Father, Lord of heaven and earth; you have revealed to little one the mysteries of the kingdom.",321
Ordinary Time,3,Friday,II,,"Psalm 16.1-2a+5, 7-8, 11 (R. see 5a)","You are my inheritance, O Lord.",John 17.17ba,"Your word, O Lord, is truth; make us holy in the truth.",441
Ordinary Time,3,Friday,II,,"Psalm 84.2, 3, 4-5, 11 (R.1)","How lovely is your dwelling place, Lord, mighty God!",John 17.17ba,"Your word, O Lord, is truth; make us holy in the truth.",441
Ordinary Time,3,Friday,II,,"Psalm 119.14+24, 72+103, 111+131 (R.103a)",How sweet to my taste is your promise!,John 10.27,"My sheep listen to my voice, says the Lord; I know them, and they follow me.",501
Ordinary Time,3,Saturday,I,,"Psalm 51.10-11, 12-13, 14-15 (R.10a)","Create a clean heart in me, O God.",John 3.16,"God loved the world so much, he gave his only Son, that all who believe in him might have eternal life. SATURDAY 285",322
Ordinary Time,3,Saturday,II,,"Psalm 113.1-2, 3-4, 5a+6-7 (R. see 2)",Blessed be the name of the Lord for ever.,John 14.23,"All who love me will keep my words, and my Father will love them, and we will come to them.",442
Ordinary Time,3,Saturday,II,,"Psalm 9.1-2, 3+5, 16+18 (R. see 14b)","I will rejoice in your salvation, O Lord.",2 Timothy 1.10,Our Saviour Jesus Christ has done away with death and brought us life through the gospel.,502
Ordinary Time,3,Saturday,II,,"Psalm 116.12-13, 17-18 (R.17a)","To you, Lord, I will offer a sacrifice of praise.",John 14.23,"All who love me will keep my words, and my Father will love them, and we will come to them.",442
