source_file,reference,current_incipit,extracted_incipit,script_source,cycle,date,reading_type,notes
standard_lectionary_complete.csv,John 4:11-16,,,,/B,Easter 7 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"1 Cor 12:3b-7, 12-13",,,,/C,Easter 7 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Eph 1:17-23,,,,/A,Easter Ascension Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 Cor 10:16-17,,,,/A,Solemnities Body and Blood of Christ Body and Blood of Christ,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,2 Pet 1:16-19,,,,/A,Solemnities Transfiguration of the Lord Transfiguration of the Lord,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 John 4:7-16,,,,/ABC,Solemnities Sacred Heart Sacred Heart,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Eph 3:8-12, 14-19",,,,/ABC,Solemnities Sacred Heart Sacred Heart,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Rom 5:5b-11,,,,/ABC,Solemnities Sacred Heart Sacred Heart,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 Pet 1:8-12,,,,/ABC,Solemnities Nativity of John the Baptist Nativity of John the Baptist Vigil,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Acts 13:22-26,,John proclaimed,weekday_b_full.txt,/ABC,Solemnities Nativity of John the Baptist Nativity of John the Baptist,Second Reading,Incipit extracted from weekday_b_full.txt
standard_lectionary_complete.csv,"2 Tim 4:6-8, 17-18",,,,/ABC,"Solemnities SS. Peter and Paul, Apostles SS. Peter and Paul, Apostles Vigil",Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 Cor 15:54b-57,,,,/ABC,Solemnities Assumption Assumption Vigil,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 Cor 15:20-27,,,,/ABC,Solemnities Assumption Assumption,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,John 3:1-3,,,,/ABC,Solemnities Exaltation of the Holy Cross Exaltation of the Holy Cross,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"1 Cor 3:9c-11, 16-17",,,,/ABC,Solemnities Dedication of St. John Lateran Basilica Dedication of St. John Lateran Basilica,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Eph 1:3-6, 11-12",,,,/ABC,Solemnities Immaculate Conception Immaculate Conception,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Heb 9:11-15,,,,/B,Solemnities Body and Blood of Christ Body and Blood of Christ,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,2 Pet 1:16-19,,,,/B,Solemnities Transfiguration of the Lord Transfiguration of the Lord,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 Cor 11:23-26,,,,/C,Solemnities Body and Blood of Christ Body and Blood of Christ,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,2 Pet 1:16-19,,,,/C,Solemnities Transfiguration of the Lord Transfiguration of the Lord,Second Reading,No matching reference found in script sources
